"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Control_1","Control_2","Activated_1","Activated_2","go","genename"
"Rnf2",450.676657710731,1.53849238776259,0.201756628372974,7.62548621162761,2.43116298414856e-14,7.35664486236909e-13,187,282,634,728,"GO:0000122","ring finger protein 2"
"Patl1",1220.92685184994,1.15990902994211,0.152149719605493,7.62347136064146,2.46943107736036e-14,7.45162865210161e-13,672,846,1685,1732,"GO:0000290","protein associated with topoisomerase II homolog 1 (yeast)"
"Sel1l",2426.25615836392,1.03444738893204,0.135746710572848,7.62042324684474,2.52845274786717e-14,7.60853572712362e-13,1361,1856,3134,3482,"GO:0000839","sel-1 suppressor of lin-12-like (C. elegans)"
"Ptpn2",1113.11583722823,1.27443596146559,0.167309262078827,7.61724692124424,2.59143323614088e-14,7.77645325404824e-13,555,761,1685,1497,"GO:0000122","protein tyrosine phosphatase, non-receptor type 2"
"Tpm4",3280.68855719899,1.01843781176859,0.133884910146058,7.6068155153374,2.80931870015812e-14,8.4070026184566e-13,1890,2482,4086,4838,"GO:0001725","tropomyosin 4"
"Fbrsl1",1295.04992828112,-1.15192339489164,0.15156325016678,-7.6002816884968,2.954868478549e-14,8.81820667441359e-13,1505,2112,762,870,"GO:0003723","fibrosin-like 1"
"Cd44",3405.65389918385,1.04107016797029,0.137011828418701,7.5983962843619,2.99823006882249e-14,8.92302921306428e-13,2069,2384,4390,4910,"GO:0001558","CD44 antigen"
"Ftl1",11414.2600543924,0.995644303148377,0.131203388758209,7.58855630614252,3.23489394811544e-14,9.60098798354372e-13,6971,8302,13940,16962,"GO:0005506","ferritin light polypeptide 1"
"Paf1",853.683763037131,1.32637047413868,0.174954143043453,7.58124644015577,3.4225078856265e-14,1.0130062274588e-12,469,500,1163,1313,"GO:0000122","Paf1, RNA polymerase II complex component"
"Hes1",135.754946524194,-2.70630686819131,0.358945287818312,-7.53960829139277,4.71385220405404e-14,1.3914212786517e-12,250,211,35,38,"GO:0000122","hes family bHLH transcription factor 1"
"Ptpre",1599.11395072232,-1.14335268611547,0.151672309203522,-7.53830868745628,4.76105796220272e-14,1.40153643762342e-12,2008,2403,1031,985,"GO:0004721","protein tyrosine phosphatase, receptor type, E"
"Uty",189.745887020479,-11.0294407231828,1.46579900964467,-7.52452461122653,5.2912486333828e-14,1.55339014757279e-12,331,434,0,0,"GO:0000978","ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome"
"Siglecg",2293.76169060034,1.0483314779469,0.139539987526099,7.51276746209272,5.78903058747428e-14,1.69493427984078e-12,1366,1630,3058,3208,"GO:0002244","sialic acid binding Ig-like lectin G"
"Sgpl1",1774.91255110237,1.13401614421579,0.151174180475594,7.50138774126754,6.31456961522119e-14,1.84382028683804e-12,886,1378,2372,2575,"GO:0001553","sphingosine phosphate lyase 1"
"Csgalnact2",489.355459813409,-1.43545360683553,0.19145898362411,-7.49744712765085,6.50727089455952e-14,1.89498025808503e-12,628,811,253,283,"GO:0005794","chondroitin sulfate N-acetylgalactosaminyltransferase 2"
"Ktn1",1344.84863537251,1.27055002035608,0.16960339481675,7.4913006412924,6.81944074136805e-14,1.98056304426917e-12,721,858,2074,1763,"GO:0005783","kinectin 1"
"Actn1",1105.70705463756,1.15301199287805,0.154276883960311,7.47365362379674,7.79982844291051e-14,2.25923907812967e-12,601,781,1514,1577,"GO:0001725","actinin, alpha 1"
"2810474O19Rik",3012.73356913435,1.02148028616147,0.136697533950975,7.47255825791132,7.86505292815677e-14,2.27205648988593e-12,1828,2153,4005,4174,"GO:0003674","RIKEN cDNA 2810474O19 gene"
"Jak2",9964.273884385,0.968852428142661,0.129679599675281,7.47112445264078,7.951240842665e-14,2.29084553320718e-12,5829,7770,13676,13002,"GO:0000166","Janus kinase 2"
"Prosc",962.461825337237,1.19692101530183,0.160282506351244,7.46757111895225,8.16885788503989e-14,2.34730072861107e-12,530,643,1297,1421,NA,NA
"Tmem229b",407.186402142071,-1.61015014046904,0.215836125771229,-7.4600585732144,8.64840251106208e-14,2.47852233868612e-12,558,672,172,237,"GO:0003674","transmembrane protein 229B"
"C030046E11Rik",2011.85810394539,1.2692275744408,0.17051240465642,7.44360844009135,9.79716089160471e-14,2.80033361315973e-12,931,1476,3123,2616,NA,NA
"Ifnar1",1982.11930734533,1.06883718309972,0.143799438477724,7.432832801119,1.06296230031705e-13,3.030281736667e-12,1070,1523,2719,2717,"GO:0004637","interferon (alpha and beta) receptor 1"
"Sirt2",667.871994157743,1.4612481220818,0.196663527195837,7.43019380826369,1.08438675352859e-13,3.08324454093836e-12,349,358,866,1127,"GO:0000122","sirtuin 2"
"G3bp1",1572.44885819238,1.12012170083389,0.150915988338418,7.42215396238929,1.1523074851626e-13,3.2677871693106e-12,825,1184,1985,2393,"GO:0000166","GTPase activating protein (SH3 domain) binding protein 1"
"Sec24a",783.544652929352,1.28377671215756,0.17302429945881,7.41963248036831,1.17445771583556e-13,3.32190611896779e-12,426,486,1115,1134,"GO:0005737","Sec24 related gene family, member A (S. cerevisiae)"
"Epb4.1",1388.82250564356,1.27273456769448,0.171575426643794,7.41793036794711,1.18964612451765e-13,3.35610324658846e-12,807,804,1816,2174,NA,NA
"Dna2",503.447816561915,-1.55253715181287,0.209311293902366,-7.41735967929691,1.19478161446421e-13,3.3618361635041e-12,565,976,244,276,"GO:0000076","DNA replication helicase/nuclease 2"
"Lcp1",32437.0078320901,0.928667684978847,0.125292933812982,7.41197174267641,1.24435275585344e-13,3.48958708072972e-12,20142,24698,39340,47079,"GO:0001725","lymphocyte cytosolic protein 1"
"Tnip1",954.270213864495,1.33524604653635,0.180153094670084,7.41172972344214,1.24662623487713e-13,3.48958708072972e-12,537,537,1271,1504,"GO:0002755","TNFAIP3 interacting protein 1"
"Ncoa4",619.800549802579,1.49087154688479,0.2012526696462,7.4079591068567,1.28257836015316e-13,3.58097200400493e-12,331,312,883,970,"GO:0003674","nuclear receptor coactivator 4"
"Gas2l3",400.243422821722,1.99154203644565,0.268918019389433,7.40575897802374,1.30402485456638e-13,3.63122957022399e-12,99,236,706,586,"GO:0000226","growth arrest-specific 2 like 3"
"Lrrc33",8487.22590167586,0.978419215742054,0.132121902179736,7.40542786320949,1.30728286936892e-13,3.63122957022399e-12,5353,6055,11104,11716,NA,NA
"Akap12",138.656507272606,2.90731574293473,0.393355866073744,7.39105729362551,1.45665831207832e-13,4.03580038228758e-12,42,21,213,284,"GO:0005737","A kinase (PRKA) anchor protein (gravin) 12"
"Rnf144b",193.025123790392,-2.05783754255019,0.278633639445184,-7.38545979820585,1.51927437820991e-13,4.19854574978264e-12,257,375,68,84,"GO:0000151","ring finger protein 144B"
"Fam129a",1561.81392385346,1.10104643468114,0.149149957567839,7.38214380101546,1.55760822595792e-13,4.29352923964432e-12,908,1082,2153,2160,"GO:0001933","family with sequence similarity 129, member A"
"H2-Eb2",2019.23663758789,1.21289062363275,0.164559741882658,7.37051851052142,1.69965663055434e-13,4.67319296416122e-12,910,1588,2801,2918,NA,"histocompatibility 2, class II antigen E beta2"
"P2ry6",224.4555340306,-1.89766873666198,0.259038647012118,-7.32581318869075,2.37454380392808e-13,6.51226152606401e-12,314,398,86,107,"GO:0004871","pyrimidinergic receptor P2Y, G-protein coupled, 6"
"Arl5a",1462.16715962469,1.08237376807867,0.147837683293367,7.3213658653648,2.4545959996284e-13,6.71480769292284e-12,814,1078,2008,2014,"GO:0000166","ADP-ribosylation factor-like 5A"
"Slc25a19",483.795621264182,1.4310702335879,0.195566153869603,7.31757620258815,2.52489764798457e-13,6.88972700771204e-12,235,291,651,783,"GO:0005634","solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19"
"Hspa9",914.224321530989,1.22917637012602,0.168046099005369,7.31451891713801,2.58305118935162e-13,7.03070189302665e-12,517,574,1248,1350,"GO:0000166","heat shock protein 9"
"Braf",1296.32815982402,1.10020971442447,0.151267162051243,7.27328852809287,3.50839845367186e-13,9.5254336963978e-12,689,982,1709,1878,"GO:0000165","Braf transforming gene"
"Slc5a3",520.284906189017,1.70799925517242,0.235289770634208,7.25913094550868,3.89585193327801e-13,1.05509409983002e-11,229,258,946,655,"GO:0005215","solute carrier family 5 (inositol transporters), member 3"
"Lrrc8d",419.932246629698,1.54475499415057,0.213221622486897,7.24483275257648,4.32973153159629e-13,1.16967535366041e-11,211,215,600,668,"GO:0005225","leucine rich repeat containing 8D"
"Ahr",2609.04944595186,1.22695597342893,0.169974131002086,7.21848652024512,5.25693468729422e-13,1.41662620565817e-11,1478,1636,4078,3292,"GO:0000122","aryl-hydrocarbon receptor"
"Gng4",108.366132998042,7.77396594559072,1.07719269498155,7.21687584942628,5.31955002668353e-13,1.42994256672612e-11,0,2,183,257,"GO:0003924","guanine nucleotide binding protein (G protein), gamma 4"
"Tspan3",1096.88478400068,1.36324773352907,0.189017157212887,7.21229624670351,5.50161175515649e-13,1.47522178573293e-11,437,829,1497,1712,"GO:0005887","tetraspanin 3"
"Rab21",2147.62262323792,0.988742741795115,0.1372125175625,7.20592231204232,5.76522678076686e-13,1.54209140039623e-11,1249,1654,2815,2974,"GO:0000166","RAB21, member RAS oncogene family"
"Stard5",364.058692152212,-1.59163238676838,0.221492560620936,-7.18594061266151,6.67460539412886e-13,1.78093596636941e-11,438,676,164,205,"GO:0005739","StAR-related lipid transfer (START) domain containing 5"
"Flnb",7670.34833326329,1.05478718655017,0.147071425031486,7.1719383036124,7.39432669200694e-13,1.96812631583566e-11,4880,5007,10383,10590,"GO:0001725","filamin, beta"
"Uap1",625.377158386095,1.33391022885636,0.1861313589916,7.16649916533708,7.69398683959211e-13,2.04286665277699e-11,306,411,947,863,"GO:0003977","UDP-N-acetylglucosamine pyrophosphorylase 1"
"Wdr91",651.384884134124,1.45502872250838,0.203103747338174,7.16396788132967,7.8374774012717e-13,2.07587757183316e-11,358,329,954,978,"GO:0005829","WD repeat domain 91"
"Aff1",2429.20722307982,1.17647326843287,0.164300589492113,7.16049328897477,8.038726581765e-13,2.12398841610391e-11,1499,1446,3280,3548,"GO:0003700","AF4/FMR2 family, member 1"
"Tlr11",228.477308281143,-1.85618814359422,0.260280432534738,-7.13149323411582,9.92858353055008e-13,2.61694271013258e-11,301,424,106,94,"GO:0002376","toll-like receptor 11"
"Ildr1",127.020094961457,2.84330482819555,0.399730631300876,7.11305215450302,1.13504361434948e-12,2.9844484160796e-11,40,20,228,222,"GO:0005829","immunoglobulin-like domain containing receptor 1"
"Tmem51",464.818013135292,1.46301453996911,0.205704731809279,7.11220654528042,1.14202177362844e-12,2.9955258774133e-11,242,250,655,728,"GO:0003674","transmembrane protein 51"
"Pdlim5",1628.27195088038,1.05799241827241,0.148907830569989,7.10501532540381,1.20309188647635e-12,3.14809043627977e-11,984,1128,2142,2318,"GO:0003779","PDZ and LIM domain 5"
"BC031353",254.337351380336,-1.76445676833393,0.248992541246763,-7.08638403182235,1.37661469688415e-12,3.59346193044482e-11,364,422,104,131,NA,NA
"Ddx6",5137.20492238084,0.920668279073681,0.130097261011348,7.0767691180937,1.47554059699135e-12,3.84243540557867e-11,2949,4255,6478,7162,"GO:0000166","DEAD (Asp-Glu-Ala-Asp) box polypeptide 6"
"Slc35c2",613.244715857377,-1.33219721247164,0.18830866277235,-7.07454024078626,1.49945051511848e-12,3.8953351151747e-11,837,911,347,359,"GO:0005654","solute carrier family 35, member C2"
"Ypel2",122.766774384271,-2.70036561907419,0.38287782848882,-7.05281272026708,1.75336773650308e-12,4.54407480610953e-11,231,184,36,30,"GO:0003674","yippee like 2"
"Dclre1c",2093.59537921322,1.28264856204767,0.182542118808361,7.02658964638315,2.11642621833682e-12,5.47189623466414e-11,1245,1160,3197,2793,"GO:0000014","DNA cross-link repair 1C"
"Ctsb",4497.46346323236,1.10725533459479,0.157655478119554,7.02325950104398,2.16751093776049e-12,5.59062999732367e-11,2804,2849,5511,6984,"GO:0004175","cathepsin B"
"BC037034",384.228602012773,-1.47911992305254,0.210720953939513,-7.01933004478103,2.22934607416758e-12,5.73646223787587e-11,470,677,206,205,"GO:0003674","cDNA sequence BC037034"
"Gpr155",153.065125800671,-2.16794324035004,0.308913621953297,-7.0179593461819,2.25132023810803e-12,5.76561516298446e-11,201,309,56,57,"GO:0003674","G protein-coupled receptor 155"
"Lrrk2",3250.26933546157,-0.938841307906127,0.133773883977549,-7.01812102625121,2.24871727615077e-12,5.76561516298446e-11,3836,4742,2242,2271,"GO:0000149","leucine-rich repeat kinase 2"
"Scpep1",1000.79747180655,1.16583319771068,0.166564877155392,6.99927390228282,2.57292425497752e-12,6.57370010711591e-11,510,742,1255,1561,"GO:0004180","serine carboxypeptidase 1"
"Evi2b",3423.98128593244,-0.971440542649222,0.13880737121184,-6.99847950557801,2.5875520158412e-12,6.59551787943712e-11,3915,5239,2417,2260,"GO:0003674","ecotropic viral integration site 2b"
"H2-Q8",457.030482546205,1.46273271431778,0.209088021924499,6.99577479787898,2.63796980337602e-12,6.70824574647241e-11,233,252,705,650,"GO:0002474","histocompatibility 2, Q region locus 8"
"Plagl1",55.0986312054546,5.19507999521636,0.743277958008848,6.98941753786611,2.76029796737293e-12,7.00288240762316e-11,1,5,115,102,"GO:0000977","pleiomorphic adenoma gene-like 1"
"Bend3",225.348197936749,2.00568137688459,0.287344380970081,6.98006124258762,2.95051416212351e-12,7.4679719435243e-11,58,128,352,381,"GO:0000122","BEN domain containing 3"
"Ptbp1",3041.22082809862,1.00525775805887,0.14409964635635,6.97612925137186,3.03423599725622e-12,7.66197635391064e-11,1742,2342,3605,4657,"GO:0000014","polypyrimidine tract binding protein 1"
"Gm9766",476.314713495593,1.59512329798991,0.229257729817323,6.9577732417613,3.45693030992703e-12,8.70905256917198e-11,208,269,835,605,NA,NA
"Rlim",2762.88274152845,0.956317271800024,0.137793480529418,6.94022146857562,3.91485719765923e-12,9.82180870422495e-11,1549,2266,3523,3875,"GO:0000122","ring finger protein, LIM domain interacting"
"Smcr8",1621.47174864998,1.1046606807923,0.159169500118263,6.94015298139117,3.91675561730378e-12,9.82180870422495e-11,998,1048,2109,2382,"GO:0000785","Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)"
"Tbc1d10c",504.44286157948,-1.46810932066266,0.211636587109226,-6.93693534145384,4.00697106854433e-12,1.00248308511642e-10,550,973,257,287,"GO:0005096","TBC1 domain family, member 10c"
"Tet2",6659.57923445213,1.0617305117794,0.153779492619532,6.90423991972867,5.04729353124467e-12,1.25984633234962e-10,3766,4929,10010,8148,"GO:0001822","tet methylcytosine dioxygenase 2"
"Kcnj16",130.891338690566,-2.29316415310867,0.332329562731238,-6.9002713278421,5.19033082131641e-12,1.29257135143266e-10,174,269,44,46,"GO:0005242","potassium inwardly-rectifying channel, subfamily J, member 16"
"Sphk1",63.9525435595901,6.39817819744089,0.927615758588683,6.89744448409907,5.29463233534382e-12,1.31552183689861e-10,2,1,113,144,"GO:0000166","sphingosine kinase 1"
"Cd53",5970.07368962689,0.908032578760918,0.131824415559171,6.88819726534902,5.65038242855754e-12,1.40070006518453e-10,3831,4473,7804,7972,"GO:0001772","CD53 antigen"
"Etv6",4945.57741738626,1.01183116848906,0.146904315101838,6.88768854602829,5.67061902521225e-12,1.40250721233161e-10,3178,3336,6685,6701,"GO:0000122","ets variant 6"
"Hyou1",994.241161402804,1.20623507818744,0.175213158141843,6.88438637246033,5.80371570987037e-12,1.43215608849717e-10,585,610,1274,1544,"GO:0000166","hypoxia up-regulated 1"
"Hilpda",126.182113621531,2.42742458981593,0.352884877978246,6.87880025838219,6.03587196181951e-12,1.48605911278161e-10,43,35,204,227,"GO:0001819","hypoxia inducible lipid droplet associated"
"Gca",676.801473770751,1.22254395181916,0.177791186171062,6.87629110389583,6.14309063777518e-12,1.50561314205924e-10,352,467,979,938,"GO:0004198","grancalcin"
"Il7r",486.405443418853,1.59366593298659,0.231753244558556,6.87656363138393,6.13135550153339e-12,1.50561314205924e-10,248,230,814,658,"GO:0000902","interleukin 7 receptor"
"Ninj1",125.293266874102,2.39693158594071,0.34905875546791,6.86684275467506,6.56383510416413e-12,1.60510215989639e-10,38,42,178,251,"GO:0001954","ninjurin 1"
"Pea15a",740.312466704835,1.24532224079912,0.181710370656849,6.85333608806977,7.21473105978471e-12,1.7602968822218e-10,418,458,949,1167,"GO:0000077","phosphoprotein enriched in astrocytes 15A"
"Eif4a1",3529.11297357046,1.03868571425378,0.151904427420706,6.83775800278088,8.04421305730727e-12,1.95416604373482e-10,2241,2350,4359,5288,"GO:0000166","eukaryotic translation initiation factor 4A1"
"Zfp238",1425.00638866967,1.13392612369983,0.165833541634801,6.83773688073893,8.04539883232466e-12,1.95416604373482e-10,720,1095,2093,1863,NA,NA
"Flrt3",62.0479053479026,6.36881150350598,0.931622175054718,6.83626009989716,8.12873014272211e-12,1.96998956680332e-10,1,2,116,133,"GO:0003345","fibronectin leucine rich transmembrane protein 3"
"Crem",240.937427287008,1.69119096206669,0.247704980060494,6.82744029471542,8.64430835858121e-12,2.0902632242971e-10,98,132,361,385,"GO:0000122","cAMP responsive element modulator"
"H2-Eb1",32588.8875644263,0.83660781037905,0.122864060080322,6.80921507747764,9.8132677544063e-12,2.36764208426466e-10,20804,26237,38891,45986,"GO:0002376","histocompatibility 2, class II antigen E beta"
"Mrps7",283.252236643045,1.59982863147934,0.235880640900269,6.78236512065335,1.18224221996254e-11,2.84605110418982e-10,124,159,387,479,"GO:0000028","mitchondrial ribosomal protein S7"
"Prkch",1064.75046151838,1.25432266079319,0.184979126529313,6.78088757541207,1.19439797703423e-11,2.86893864417113e-10,643,598,1471,1569,"GO:0000166","protein kinase C, eta"
"Skint3",297.7128293144,-1.63318052219268,0.241502000608657,-6.76259624382648,1.35540579513732e-11,3.24847588024835e-10,348,573,151,143,"GO:0003674","selection and upkeep of intraepithelial T cells 3"
"Vps26a",1379.2758186631,1.01374223516431,0.150217025106213,6.74851758279414,1.49363302606767e-11,3.571860170285e-10,775,1073,1865,1871,"GO:0005515","VPS26 retromer complex component A"
"Cltc",4466.53865921447,0.864219444790067,0.128199512639045,6.74120694376848,1.5707629221187e-11,3.74803408266782e-10,2782,3597,5759,5921,"GO:0000278","clathrin, heavy polypeptide (Hc)"
"Ddx26b",619.961451129517,-1.20110739443656,0.178243584928624,-6.73857291928643,1.5994978179446e-11,3.80192583583627e-10,747,997,355,408,NA,NA
"Eif3a",5156.41980421484,0.906746000725053,0.134562116081402,6.73849391738552,1.60036756313241e-11,3.80192583583627e-10,3356,3807,6609,7023,"GO:0001732","eukaryotic translation initiation factor 3, subunit A"
"Prdx1",1038.03482820174,1.07767662025005,0.160099632089113,6.73128730021194,1.68168533256613e-11,3.98636700387065e-10,548,807,1353,1506,"GO:0000302","peroxiredoxin 1"
"Cyp27a1",813.991165561435,-1.14354831333268,0.170062141939098,-6.7242967793632,1.76442482248043e-11,4.17336552443898e-10,939,1332,467,564,"GO:0004497","cytochrome P450, family 27, subfamily a, polypeptide 1"
"Nop58",751.438619889012,1.13970167890155,0.169561374041193,6.72146994176087,1.79900351530461e-11,4.24588345997708e-10,423,519,992,1105,"GO:0000154","NOP58 ribonucleoprotein"
"Clec4a2",215.103034836444,-1.74802306959114,0.260217750412294,-6.71753970212078,1.84818420015018e-11,4.35247379135367e-10,300,365,97,103,"GO:0002250","C-type lectin domain family 4, member a2"
"Ubr5",3702.45457437643,0.970526628597134,0.144625342008444,6.71062633366476,1.93790782029507e-11,4.55387319246346e-10,2157,2894,5240,4664,"GO:0000209","ubiquitin protein ligase E3 component n-recognin 5"
"Canx",2933.46400008015,0.931458986592252,0.138994041903548,6.70143103859528,2.06388252806801e-11,4.83940247328154e-10,1875,2159,3817,3981,"GO:0003723","calnexin"
"Dusp3",212.680016542807,1.76730015492992,0.263983860146889,6.6947280562779,2.16073070090156e-11,5.0555498235133e-10,87,107,339,326,"GO:0000188","dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)"
"Map2k6",203.71203652329,-1.95729586388821,0.292403616482307,-6.69381551239002,2.17425502339887e-11,5.07622945441378e-10,317,326,66,104,"GO:0000165","mitogen-activated protein kinase kinase 6"
"Atp6v1d",916.851825625704,1.08186434362141,0.161890025120096,6.68271156804652,2.34560962993674e-11,5.45830274729371e-10,517,668,1168,1361,"GO:0005765","ATPase, H+ transporting, lysosomal V1 subunit D"
"Hpgd",403.919692155804,-1.41363359285114,0.211540616074358,-6.68256346740635,2.3479821658256e-11,5.45830274729371e-10,485,707,233,213,"GO:0003824","hydroxyprostaglandin dehydrogenase 15 (NAD)"
"Tnfaip2",218.886286635283,2.26552130473156,0.339786412657214,6.66748645719712,2.60221464721477e-11,6.03635787436351e-10,94,51,320,416,"GO:0000145","tumor necrosis factor, alpha-induced protein 2"
"Dyrk2",271.021156777627,1.58973309897168,0.23858142909001,6.66327259852199,2.67796275412006e-11,6.19879711867151e-10,116,157,374,453,"GO:0000151","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"
"Elmo2",897.719358551298,-1.0816468680485,0.162368315243631,-6.66168683480832,2.70702376252964e-11,6.25270541993253e-10,1030,1438,568,600,"GO:0005737","engulfment and cell motility 2"
"Nsmaf",1523.80784297539,-1.01242037952625,0.152233764057207,-6.65043254889103,2.9223290374837e-11,6.7356575453321e-10,1850,2235,1046,997,"GO:0005123","neutral sphingomyelinase (N-SMase) activation associated factor"
"Clec4g",135.18708529386,-2.16827361055457,0.326320270825937,-6.64461819998656,3.04004063174218e-11,6.99209345300702e-10,176,275,46,54,"GO:0002710","C-type lectin domain family 4, member g"
"Gp49a",1230.80395852854,3.40690176860644,0.51291915546837,6.6421808042935,3.09075488526196e-11,7.09367535424635e-10,244,166,2563,1967,NA,NA
"Cyfip1",1677.66360075803,1.00382752103744,0.15138080540561,6.63114136794151,3.33101016812851e-11,7.62892878463766e-10,1041,1190,2277,2254,"GO:0000340","cytoplasmic FMR1 interacting protein 1"
"Ston2",1647.85541779851,1.05279395714413,0.158806064208322,6.62943170585141,3.36981698270503e-11,7.70152476237207e-10,1041,1089,2175,2332,"GO:0002244","stonin 2"
"Fgd2",1179.14597233306,-1.04336596712462,0.157498867692286,-6.62459344890721,3.48205179330375e-11,7.94127727933885e-10,1299,1928,735,829,"GO:0001726","FYVE, RhoGEF and PH domain containing 2"
"Ramp3",48.448477500249,4.54068741326648,0.686493207640093,6.61432241824455,3.73257425334610e-11,8.49474304338201e-10,4,4,94,94,"GO:0001921","receptor (calcitonin) activity modifying protein 3"
"Nbn",306.71479569304,1.48455960448262,0.224779739095317,6.60450808626081,3.98839442635862e-11,9.05791966891884e-10,139,187,447,469,"GO:0000077","nibrin"
"Sbno1",4151.74176275948,0.854977466035594,0.129471837552782,6.60357867931736,4.01349129571844e-11,9.09584753274431e-10,2523,3453,5326,5508,"GO:0003674","strawberry notch 1"
"Relb",1778.52336031126,1.08155743489221,0.163969020466208,6.59610841009512,4.22090331693764e-11,9.54593854538318e-10,862,1478,2395,2502,"GO:0000122","avian reticuloendotheliosis viral (v-rel) oncogene related B"
"Tmem150b",172.305443208349,-2.16827582925362,0.328758617472135,-6.59534294774006,4.24273957605056e-11,9.57533288069912e-10,187,399,68,59,"GO:0003674","transmembrane protein 150B"
"Fam55c",214.602326991989,-1.79687139442217,0.272729094382894,-6.58848443906567,4.44338811774347e-11,1.00073229687141e-09,263,417,104,90,NA,NA
"Eef2k",419.365663889161,-1.33518341538914,0.202714913486267,-6.58650807889174,4.50291065070066e-11,1.01203383981411e-09,547,657,226,257,"GO:0000166","eukaryotic elongation factor-2 kinase"
"Tmem170b",808.809793837018,-1.14999548372632,0.174787077359911,-6.57940793505187,4.72325258269886e-11,1.05935807926246e-09,938,1320,532,484,"GO:0003674","transmembrane protein 170B"
"Slamf1",53.0283378231352,3.95637464065825,0.601897840336728,6.57316636731056,4.9256368674953e-11,1.10246744185076e-09,5,8,111,90,"GO:0001779","signaling lymphocytic activation molecule family member 1"
"A130040M12Rik",425.102114353487,1.50187874173818,0.228499691677105,6.57278235570009,4.93836184074006e-11,1.10303657362344e-09,232,205,632,639,NA,"RIKEN cDNA A130040M12 gene"
"Cxcl2",106.739745603216,2.94252264050229,0.447797336946238,6.57110348303739,4.99437324354731e-11,1.11325196187959e-09,34,13,182,200,"GO:0002237","chemokine (C-X-C motif) ligand 2"
"Dtx4",256.592451449202,2.05670188128733,0.313658445288007,6.55713854412185,5.48500513024133e-11,1.22010391326292e-09,120,72,431,404,"GO:0005575","deltex 4, E3 ubiquitin ligase"
"8430419L09Rik",588.554404032229,-1.19132311176972,0.181740003118716,-6.5550956934425,5.56062071103383e-11,1.23438942956208e-09,722,926,334,394,NA,NA
"Gabarap",1401.62093149519,1.00157455907951,0.153131635983273,6.54061162899685,6.12677459881354e-11,1.35728730529544e-09,795,1093,1705,2096,"GO:0000045","gamma-aminobutyric acid receptor associated protein"
"Tfrc",1620.62668498549,-0.964803716062878,0.147722082452834,-6.53120846959985,6.52411129121954e-11,1.44236117587309e-09,1768,2583,1085,1141,"GO:0003723","transferrin receptor"
"Cd38",471.521518041144,1.35780493362895,0.207991486549572,6.52817553330642,6.65756478232059e-11,1.46886760258409e-09,263,262,665,709,"GO:0001666","CD38 antigen"
"Niacr1",139.120860079156,2.67255828901804,0.409702355203807,6.52317043110131,6.88365677715299e-11,1.51566369648167e-09,51,21,238,248,NA,NA
"Arhgap9",1203.33981856067,-0.994239126014623,0.152509410915863,-6.51919852056296,7.06840532607252e-11,1.55318529203537e-09,1365,1875,762,871,"GO:0005096","Rho GTPase activating protein 9"
"Reep3",1867.39903363989,0.946306179973824,0.14524998046243,6.51501760593072,7.26811329741954e-11,1.5938354524483e-09,1045,1547,2409,2577,"GO:0003674","receptor accessory protein 3"
"Pdxk",1319.18126515488,1.0546234123412,0.161994963135418,6.51022347811885,7.50390834013471e-11,1.64221897068039e-09,743,987,1560,2066,"GO:0000166","pyridoxal (pyridoxine, vitamin B6) kinase"
"Slc39a1",296.554162563109,1.58402788005479,0.24348586542249,6.5056256029738,7.73707056491869e-11,1.68983236753557e-09,114,189,393,513,"GO:0001701","solute carrier family 39 (zinc transporter), member 1"
"H2-Ab1",56249.8138135331,0.851552088226216,0.131004807433468,6.50015907743449,8.02351223295377e-11,1.74886736457924e-09,36719,43614,65581,81614,"GO:0002344","histocompatibility 2, class II antigen A, beta 1"
"Dyrk1a",1602.27888437846,0.941437519454492,0.145160241438748,6.485505329307,8.84348736594464e-11,1.92372487219434e-09,995,1206,2059,2213,"GO:0000166","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a"
"Mt2",47.7631633114729,5.21477152303314,0.804950158237843,6.47837815753594,9.27137541174224e-11,2.01276172014837e-09,3,2,72,118,"GO:0006882","metallothionein 2"
"2310021P13Rik",1628.07071445154,0.960954446250794,0.148355864202089,6.47736071249461,9.3340869122522e-11,2.02232327040856e-09,1000,1217,2198,2155,NA,NA
"Sik1",1240.05312040462,-1.22366021707816,0.189173178004277,-6.46846572007419,9.9002970134908e-11,2.1407169171087e-09,1770,1653,661,851,"GO:0000122","salt inducible kinase 1"
"Galnt6",439.565207356339,1.4520007846744,0.224594547766123,6.4649867911594,1.01307658111776e-10,2.1861869727587e-09,244,220,652,650,"GO:0004653","polypeptide N-acetylgalactosaminyltransferase 6"
"2400003C14Rik",873.100683743887,1.05930991046242,0.163959092602819,6.46081832758452,1.04138280961734e-10,2.24280317625937e-09,510,627,1117,1278,NA,NA
"Fmnl1",4161.1388404996,0.960124207739296,0.149079530534706,6.44034901569385,1.19199079896795e-10,2.56207069944838e-09,2680,2951,4911,6271,"GO:0003779","formin-like 1"
